,community,Walk-Score,Transit-Score,Bike-Score
0,YORKVILLE,13,0.0,31.0
1,WOLF WILLOW,0,19.0,6.0
2,WEST SPRINGS,55,38.0,81.0
3,WOODLANDS,26,37.0,75.0
4,WINDSOR PARK,54,44.0,63.0
5,WILDWOOD,14,32.0,57.0
6,WINSTON HEIGHTS/MOUNTVIEW,1,43.0,56.0
7,WILLOW PARK,47,50.0,74.0
8,WEST HILLHURST,47,50.0,88.0
9,WHITEHORN,34,57.0,73.0
10,WESTGATE,28,51.0,75.0
11,WESTWINDS,66,60.0,76.0
12,WOODBINE,29,35.0,58.0
13,WALDEN,31,33.0,56.0
14,VISTA HEIGHTS,35,44.0,70.0
15,VARSITY,40,60.0,88.0
16,VALLEY RIDGE,15,26.0,65.0
17,VALLEYFIELD,15,43.0,50.0
18,UNIVERSITY OF CALGARY,54,66.0,87.0
19,UNIVERSITY HEIGHTS,49,61.0,85.0
20,UNIVERSITY DISTRICT,39,55.0,81.0
21,UPPER MOUNT ROYAL,58,50.0,90.0
22,TUXEDO PARK,78,54.0,85.0
23,TUSCANY,28,32.0,75.0
24,TWINHILLS,0,0.0,27.0
25,THORNCLIFFE,61,54.0,81.0
26,TEMPLE,46,49.0,71.0
27,TARADALE,33,53.0,62.0
28,SYMONS VALLEY RANCH,8,28.0,51.0
29,SILVERADO,48,30.0,71.0
30,SUNRIDGE,48,60.0,71.0
31,STRATHCONA PARK,43,35.0,68.0
32,STARFIELD,0,29.0,29.0
33,ST. ANDREWS HEIGHTS,43,62.0,84.0
34,STONEY 4,0,0.0,43.0
35,STONEY 3,0,42.0,36.0
36,STONEY 2,6,27.0,61.0
37,STONEY 1,2,36.0,61.0
38,SCARBORO/ SUNALTA WEST,32,60.0,72.0
39,SUNNYSIDE,84,71.0,97.0
40,SADDLE RIDGE INDUSTRIAL,4,50.0,38.0
41,SPRUCE CLIFF,52,46.0,87.0
42,SPRINGBANK HILL,8,28.0,41.0
43,SOUTHWOOD,47,60.0,67.0
44,SOUTHVIEW,16,45.0,61.0
45,SOMERSET,29,57.0,57.0
46,SOUTH CALGARY,49,49.0,78.0
47,SUNALTA,79,65.0,96.0
48,SKYLINE WEST,31,33.0,65.0
49,SKYVIEW RANCH,6,37.0,47.0
50,SKYLINE EAST,27,33.0,53.0
51,SILVER SPRINGS,20,36.0,75.0
52,SIGNAL HILL,56,40.0,64.0
53,SHERWOOD,30,38.0,56.0
54,SHAWNEE SLOPES,16,48.0,52.0
55,SHAWNESSY,60,60.0,73.0
56,SHEPARD INDUSTRIAL,5,38.0,38.0
57,SHAGANAPPI,26,60.0,80.0
58,STONEGATE LANDING,1,23.0,47.0
59,SAGE HILL,14,40.0,49.0
60,SOUTH FOOTHILLS,1,36.0,36.0
61,SETON,6,41.0,32.0
62,SUNDANCE,9,42.0,47.0
63,SCENIC ACRES,24,41.0,61.0
64,SCARBORO,71,63.0,86.0
65,SOUTH AIRWAYS,35,44.0,79.0
66,SANDSTONE VALLEY,19,41.0,56.0
67,SADDLE RIDGE,38,62.0,74.0
68,SECTION 23,0,34.0,54.0
69,ROYAL VISTA,33,34.0,59.0
70,RANGEVIEW,0,12.0,28.0
71,RUTLAND PARK,52,51.0,66.0
72,RUNDLE,39,58.0,70.0
73,REDSTONE,7,34.0,41.0
74,ROYAL OAK,23,40.0,49.0
75,ROXBORO,59,54.0,95.0
76,ROCKY RIDGE,27,31.0,67.0
77,ROSEMONT,56,50.0,90.0
78,RIVERBEND,54,45.0,73.0
79,RIDEAU PARK,36,49.0,68.0
80,RICHMOND,58,55.0,79.0
81,RENFREW,56,40.0,92.0
82,RED CARPET,20,48.0,55.0
83,ROSEDALE,58,62.0,74.0
84,ROSSCARROCK,66,55.0,88.0
85,RANCHLANDS,35,41.0,62.0
86,RAMSAY,51,53.0,78.0
87,QUEENS PARK VILLAGE,17,50.0,74.0
88,QUEENSLAND,34,33.0,60.0
89,PUMP HILL,29,43.0,54.0
90,POINT MCKAY,18,48.0,76.0
91,PARKLAND,34,33.0,65.0
92,PARKHILL,56,55.0,91.0
93,PARKDALE,28,53.0,81.0
94,PINERIDGE,46,41.0,76.0
95,PENBROOKE MEADOWS,37,52.0,47.0
96,PEGASUS,23,34.0,77.0
97,PINE CREEK,0,0.0,29.0
98,PATTERSON,39,37.0,78.0
99,PANORAMA HILLS,29,46.0,62.0
100,PALLISER,34,41.0,66.0
101,OGDEN SHOPS,9,40.0,43.0
102,OGDEN,47,45.0,63.0
103,OAKRIDGE,30,37.0,75.0
104,NOSE HILL PARK,3,0.0,49.0
105,NOLAN HILL,12,37.0,50.0
106,NORTH HAVEN,30,43.0,67.0
107,NORTH HAVEN UPPER,19,40.0,66.0
108,NORTH GLENMORE PARK,33,52.0,81.0
109,NEW BRIGHTON,18,42.0,67.0
110,NORTH AIRWAYS,32,41.0,70.0
111,MARTINDALE,35,61.0,63.0
112,MARLBOROUGH,49,60.0,60.0
113,MAPLE RIDGE,14,31.0,49.0
114,MARLBOROUGH PARK,41,43.0,69.0
115,MONTEREY PARK,4,41.0,56.0
116,MOUNT PLEASANT,50,52.0,90.0
117,MONTGOMERY,62,46.0,90.0
118,MANCHESTER INDUSTRIAL,24,53.0,64.0
119,MILLRISE,33,45.0,64.0
120,MAYLAND,33,50.0,66.0
121,MISSION,72,60.0,97.0
122,MIDNAPORE,44,50.0,72.0
123,MERIDIAN,35,53.0,58.0
124,MEADOWLARK PARK,57,58.0,92.0
125,MEDICINE HILL,14,35.0,36.0
126,MCKENZIE TOWNE,63,49.0,85.0
127,MCKENZIE LAKE,11,36.0,66.0
128,MCCALL,19,39.0,55.0
129,MANCHESTER,63,50.0,75.0
130,MAYLAND HEIGHTS,63,40.0,75.0
131,MAHOGANY,0,30.0,35.0
132,MAYFAIR,30,50.0,83.0
133,MACEWAN GLEN,15,36.0,52.0
134,LINCOLN PARK,35,52.0,82.0
